"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Avg Time","Max Time","Activity Calories","Total Elev Gain","Avg Elevation Gain","Max Elevation Gain","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"Mar 2016","11","33.53 mi","3.05 mi","7.01 mi","4:51:38 h:m:s","26:31 h:m:s","1:11:34 h:m:s","3,790 C","420 ft","47 ft","106 ft","6.9 mph","8:42 min/mi","--","173 spm","--"
"Feb 2016","15","51.31 mi","3.42 mi","10.17 mi","7:26:34 h:m:s","29:46 h:m:s","1:40:59 h:m:s","5,787 C","668 ft","45 ft","111 ft","6.9 mph","8:42 min/mi","--","172 spm","--"
"Jan 2016","11","31.34 mi","2.85 mi","6.00 mi","4:30:11 h:m:s","24:34 h:m:s","54:43 h:m:s","3,541 C","440 ft","55 ft","152 ft","7.0 mph","8:37 min/mi","--","172 spm","--"
"Dec 2015","14","32.15 mi","2.30 mi","7.01 mi","4:50:44 h:m:s","20:46 h:m:s","1:10:24 h:m:s","3,603 C","524 ft","52 ft","138 ft","6.6 mph","9:03 min/mi","--","172 spm","--"
"Nov 2015","12","25.57 mi","2.13 mi","4.01 mi","3:44:10 h:m:s","18:41 h:m:s","38:44 h:m:s","2,871 C","210 ft","26 ft","83 ft","6.8 mph","8:46 min/mi","--","172 spm","--"
"Oct 2015","13","34.72 mi","2.67 mi","10.00 mi","5:25:09 h:m:s","25:01 h:m:s","1:39:16 h:m:s","3,908 C","617 ft","77 ft","169 ft","6.4 mph","9:22 min/mi","--","172 spm","--"
"Sep 2015","14","35.83 mi","2.56 mi","6.00 mi","5:19:47 h:m:s","22:50 h:m:s","55:38 h:m:s","3,824 C","451 ft","41 ft","108 ft","6.7 mph","8:56 min/mi","--","172 spm","--"
"Aug 2015","15","40.07 mi","2.67 mi","6.00 mi","6:00:00 h:m:s","24:00 h:m:s","54:01 h:m:s","4,205 C","500 ft","45 ft","116 ft","6.7 mph","8:59 min/mi","--","169 spm","--"
"Jul 2015","15","49.42 mi","3.29 mi","7.00 mi","7:36:33 h:m:s","30:26 h:m:s","1:12:30 h:m:s","5,111 C","1,371 ft","105 ft","587 ft","6.5 mph","9:14 min/mi","--","169 spm","--"
"Jun 2015","9","20.88 mi","2.32 mi","4.00 mi","3:03:51 h:m:s","20:26 h:m:s","40:25 h:m:s","2,178 C","288 ft","58 ft","93 ft","6.8 mph","8:48 min/mi","--","173 spm","--"
"May 2015","6","13.04 mi","2.17 mi","3.01 mi","1:41:54 h:m:s","16:59 h:m:s","25:16 h:m:s","1,365 C","191 ft","38 ft","75 ft","7.7 mph","7:49 min/mi","--","174 spm","--"
"Apr 2015","13","40.64 mi","3.13 mi","7.01 mi","5:33:39 h:m:s","25:40 h:m:s","58:46 h:m:s","4,229 C","471 ft","47 ft","111 ft","7.3 mph","8:13 min/mi","--","173 spm","--"
"Mar 2015","14","39.00 mi","2.79 mi","6.02 mi","5:14:55 h:m:s","22:30 h:m:s","49:11 h:m:s","4,072 C","542 ft","68 ft","119 ft","7.4 mph","8:04 min/mi","--","173 spm","--"
"Feb 2015","22","75.15 mi","3.42 mi","16.00 mi","11:09:24 h:m:s","30:26 h:m:s","2:36:02 h:m:s","7,880 C","997 ft","62 ft","166 ft","6.7 mph","8:54 min/mi","--","169 spm","--"
"Jan 2015","22","71.32 mi","3.24 mi","6.00 mi","10:37:04 h:m:s","28:57 h:m:s","59:18 h:m:s","7,412 C","1,229 ft","65 ft","151 ft","6.7 mph","8:56 min/mi","170 bpm","172 spm","--"
"Dec 2014","15","44.45 mi","2.96 mi","4.01 mi","6:36:05 h:m:s","26:24 h:m:s","39:22 h:m:s","4,617 C","547 ft","42 ft","102 ft","6.7 mph","8:55 min/mi","160 bpm","173 spm","--"
"Nov 2014","21","69.53 mi","3.31 mi","6.00 mi","10:09:06 h:m:s","29:00 h:m:s","58:21 h:m:s","7,200 C","1,301 ft","65 ft","168 ft","6.8 mph","8:46 min/mi","171 bpm","174 spm","--"
"Oct 2014","21","78.12 mi","3.72 mi","7.00 mi","11:45:48 h:m:s","33:37 h:m:s","59:11 h:m:s","7,779 C","1,819 ft","91 ft","169 ft","6.6 mph","9:02 min/mi","164 bpm","173 spm","--"
"Sep 2014","18","65.91 mi","3.66 mi","8.01 mi","10:02:22 h:m:s","33:28 h:m:s","1:12:56 h:m:s","6,339 C","1,628 ft","96 ft","256 ft","6.6 mph","9:08 min/mi","164 bpm","176 spm","--"
"Aug 2014","20","68.80 mi","3.44 mi","6.01 mi","10:17:40 h:m:s","30:53 h:m:s","52:03 h:m:s","6,822 C","1,256 ft","78 ft","191 ft","6.7 mph","8:59 min/mi","163 bpm","174 spm","--"
"Jul 2014","30","129.18 mi","4.31 mi","35.85 mi","15:13:54 h:m:s","30:28 h:m:s","3:02:05 h:m:s","8,872 C","1,351 ft","61 ft","127 ft","8.5 mph","7:04 min/mi","158 bpm","166 spm","--"
"Jun 2014","17","58.99 mi","3.47 mi","13.10 mi","12:20:58 h:m:s","43:35 h:m:s","4:02:35 h:m:s","6,061 C","3,328 ft","277 ft","2,360 ft","4.8 mph","12:34 min/mi","--","--","--"
"May 2014","20","70.15 mi","3.51 mi","7.00 mi","9:46:59 h:m:s","29:21 h:m:s","1:02:31 h:m:s","7,267 C","1,485 ft","83 ft","183 ft","7.2 mph","8:22 min/mi","--","--","--"
"Apr 2014","21","67.96 mi","3.24 mi","7.01 mi","9:50:28 h:m:s","28:07 h:m:s","1:03:51 h:m:s","7,046 C","1,588 ft","79 ft","212 ft","6.9 mph","8:41 min/mi","--","--","--"
"Mar 2014","27","102.69 mi","3.80 mi","8.00 mi","14:26:43 h:m:s","32:06 h:m:s","1:10:38 h:m:s","10,642 C","2,205 ft","88 ft","212 ft","7.1 mph","8:26 min/mi","--","--","--"
"Feb 2014","21","90.89 mi","4.33 mi","15.00 mi","13:37:50 h:m:s","38:57 h:m:s","2:33:17 h:m:s","9,405 C","1,644 ft","103 ft","324 ft","6.7 mph","9:00 min/mi","--","--","--"
"Jan 2014","15","42.75 mi","2.85 mi","5.00 mi","5:47:28 h:m:s","23:10 h:m:s","43:15 h:m:s","4,469 C","1,067 ft","76 ft","296 ft","7.4 mph","8:08 min/mi","--","--","--"
"Dec 2013","5","13.13 mi","2.63 mi","4.00 mi","1:46:14 h:m:s","21:15 h:m:s","32:19 h:m:s","1,366 C","180 ft","60 ft","97 ft","7.4 mph","8:06 min/mi","--","--","--"
"Nov 2013","13","55.45 mi","4.27 mi","13.23 mi","8:13:49 h:m:s","37:59 h:m:s","2:00:21 h:m:s","5,778 C","827 ft","92 ft","353 ft","6.7 mph","8:54 min/mi","--","--","--"
"Oct 2013","24","104.06 mi","4.52 mi","12.01 mi","16:01:15 h:m:s","40:03 h:m:s","1:53:33 h:m:s","10,805 C","3,336 ft","145 ft","405 ft","6.5 mph","9:14 min/mi","--","--","--"
"Sep 2013","23","75.70 mi","3.29 mi","8.00 mi","11:11:39 h:m:s","29:12 h:m:s","1:17:52 h:m:s","7,863 C","2,665 ft","116 ft","303 ft","6.8 mph","8:52 min/mi","--","--","--"
"Aug 2013","20","64.15 mi","3.21 mi","6.00 mi","9:46:04 h:m:s","29:18 h:m:s","1:02:28 h:m:s","6,481 C","2,836 ft","142 ft","455 ft","6.6 mph","9:08 min/mi","--","--","--"
"Jul 2013","10","24.61 mi","2.46 mi","6.35 mi","4:00:55 h:m:s","24:06 h:m:s","1:06:13 h:m:s","2,421 C","1,023 ft","102 ft","232 ft","6.1 mph","9:47 min/mi","--","--","--"
"Jun 2013","6","17.58 mi","2.93 mi","5.13 mi","6:28:25 h:m:s","1:04:44 h:m:s","3:35:51 h:m:s","1,570 C","4,230 ft","705 ft","2,941 ft","2.7 mph","22:06 min/mi","--","--","--"
"May 2013","19","58.05 mi","3.06 mi","8.05 mi","8:13:45 h:m:s","25:59 h:m:s","1:11:03 h:m:s","5,719 C","1,749 ft","97 ft","259 ft","7.1 mph","8:30 min/mi","--","--","--"
"Apr 2013","23","72.08 mi","3.79 mi","7.69 mi","12:25:05 h:m:s","32:24 h:m:s","1:18:18 h:m:s","6,995 C","2,661 ft","148 ft","289 ft","5.8 mph","10:20 min/mi","--","--","--"
"Mar 2013","5","12.63 mi","3.16 mi","4.62 mi","2:20:19 h:m:s","28:04 h:m:s","42:42 h:m:s","1,235 C","456 ft","114 ft","184 ft","5.4 mph","11:06 min/mi","--","--","--"
"Feb 2013","6","9.14 mi","3.05 mi","5.59 mi","2:15:38 h:m:s","22:36 h:m:s","1:12:52 h:m:s","876 C","176 ft","59 ft","99 ft","4.0 mph","14:50 min/mi","--","--","--"
"Jan 2013","10","15.16 mi","1.52 mi","3.95 mi","5:13:20 h:m:s","31:20 h:m:s","3:14:50 h:m:s","1,432 C","295 ft","33 ft","99 ft","2.9 mph","20:40 min/mi","--","--","--"
"Dec 2012","2","1.68 mi","0.84 mi","1.36 mi","13:28 h:m:s","6:44.0 h:m:s","11:11 h:m:s","170 C","87 ft","44 ft","87 ft","7.5 mph","8:01 min/mi","--","--","--"
"Summary","1,507","4,467.93 mi","2.94 mi","35.85 mi","719:33:01 h:m:s","28:25 h:m:s","8:27:04 h:m:s","427,719 C","164,106 ft","120 ft","4,951 ft","6.4 mph","9:19 min/mi","149 bpm","167 spm","87 rpm"
